and 用于表达式运算，逻辑与操作

as 用于类型转换

assert 断言，用于判断变量或条件表达式的值是否为真

break 中断循环语句的执行

class 用于定义类

continue 继续执行下一次循环

def 用于定义函数或方法

del 删除变量或者序列的值

elif 条件语句 与if else 结合使用

else 条件语句 条件语句，与if,elif结合使用。也可以用于异常和循环使用

except 包括捕获异常后的操作代码，与try，finally结合使用

exec 用于执行python语句

for 循环语句

finally 用于异常语句，出现异常后，始终要执行finally包含的代码块。与try,except结合使用

from 用于导入模块，与import结合使用

global 定义全局变量

if 条件语句，与else，elif结合使用

import 用于导入模块，与from 结合使用

in 判断变量是否存在序列中

is 判断变量是否为某个类的实例

lambda 定义匿名函数

not 用于表达式运算，逻辑非操作

or 用于表达式运算，逻辑或操作

pass 空的类，函数，方法的占位符

print 打印语句

raise 异常抛出操作

return 用于从函数返回计算结果

try 包含可能会出现异常的语句，与except，finally结合使用

while 循环语句

with 简化Python的语句

yield 用于从函数依次返回值

